st,naz,pred,id_pr,gl,prc,tip_izv,zap_st,__municipality_id,__municipality_name
1001,Peter Dermol,SOCIALNI DEMOKRATI - SD in Rok Plankelj in skupina volivcev,1926,8504,0.68836,1,3,133,Velenje
,Matjaž Hočevar,Nina Hočevar in skupina volivcev,88528,1008,0.536456,1,2,134,Velike Lašče
18018,Brane Kolednik,STRANKA MLADIH - ZELENI EVROPE,6463,1405,0.513523,1,1,135,Videm
,Anton Lavrenčič,Tomaž Vrčon in skupina volivcev,5187,1743,0.58197,1,1,136,Vipava
,Andraž Pogorevc,ANITA POGOREVC IN SKUPINA VOLIVCEV,10275,691,0.54711,1,1,137,Vitanje
,Aco Franc Šuštar,Marjan Podgoršek,11086,1412,0.574217,1,1,138,Vodice
,Branko Petre,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI in SLOVENSKA DEMOKRATSKA STRANKA ,3489,2524,0.765312,1,2,139,Vojnik
,Daniel Cukjati,Daniel Cukjati in skupina volivcev,6170,3827,0.594532,1,5,140,Vrhnika
,Franjo (Franc) Golob,DANICA GOLOB IN SKUPINA VOLIVCEV,1965,1195,0.862816,1,1,141,Vuzenica
41041,Matjaž Švagan,ZAGORJE GRE NAPREJ - ZDRUŽENJE ZA NAPREDEK ZASAVJA,3050,5069,0.76134,1,4,142,Zagorje ob Savi
17017,Slavko Pravdič, NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,5537,440,1,1,1,143,Zavrč
2002,Boris Podvršnik,SLOVENSKA DEMOKRATSKA STRANKA,1842,1798,0.659091,1,1,144,Zreče
,Marko Gasser,Janez Habjan in skupina volivcev,1371,2156,0.603922,1,2,146,Železniki
,Franc Kranjc,ALEŠ DOLENC IN SKUPINA VOLIVCEV,90530,1326,0.514951,1,2,147,Žiri
16016,mag. Milan Repič,SLOVENSKA LJUDSKA STRANKA,4806,652,1,1,1,148,Benedikt
,Franjo Debelak,DUŠAN BERKOVIČ IN SKUPINA VOLIVCEV,8804,487,0.624359,1,1,149,Bistrica ob Sotli
16016,Jože Doles,SLOVENSKA LJUDSKA STRANKA,2907,602,0.712426,1,2,150,Bloke
,Tomaž Žohar,Tomaž Žohar in skupina volivcev,10162,2094,0.906101,1,1,151,Braslovče
,Danilo Kacijan,Darko Kerec in skupina volivcev,9964,666,1,1,1,152,Cankova
,Marjan Žmavc,DAMJAN ŽMAVC IN SKUPINA VOLIVCEV,1919,644,1,1,1,153,Cerkvenjak
