MESTNA OBČINA KRANJ,Matjaž Rakovec,SD - SOCIALNI DEMOKRATI
MESTNA OBČINA KRANJ,Barbara Gunčar,SLRP - STRANKA ZA ENAKOMEREN LOKALNI RAZVOJ IN PODJETNOST
MESTNA OBČINA LJUBLJANA,Mihael Rihar,Kongres stranke Naprej Slovenija
MESTNA OBČINA LJUBLJANA,Smiljan Mekicar,DOBRA DRŽAVA
MESTNA OBČINA LJUBLJANA,Jožef Jarh,Občinski odbor Stranke enakopravnih dežel - SED
MESTNA OBČINA LJUBLJANA,Dragan Matić,ZBOR ČLANOV SMC LJUBLJANA
MESTNA OBČINA LJUBLJANA,Milan Jakopovič,LEVICA
MESTNA OBČINA LJUBLJANA,Tomaž Ogrin,ZELENI SLOVENIJE - ZBOR ČLANOV
MESTNA OBČINA LJUBLJANA,Matjaž Bidovec,SOCIALISTIČNA PARTIJA SLOVENIJE
MESTNA OBČINA LJUBLJANA,Anže Logar,KONFERENCA MO SDS LJUBLJANA
MESTNA OBČINA LJUBLJANA,Marko Koprivc,VOLILNA KONVENCIJA - OBČINSKE ORGANIZACIJE LJUBLJANA SOCIALNI DEMOKRATI-SD
MESTNA OBČINA LJUBLJANA,Zoran Janković,JOŽE MERMAL S SKUPINO VOLIVCEV
MESTNA OBČINA MARIBOR,Aleksander Saša Arsenovič,SMC - STRANKA MODERNEGA CENTRA
MESTNA OBČINA MARIBOR,Melita Petelin,BOŽIDAR KASTELIC IN SKUPINA VOLILCEV
MESTNA OBČINA MARIBOR,Zdravko Luketič,NSI - NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI
MESTNA OBČINA MARIBOR,Matic Matjašič,LMP - LISTA MLADIH. POVEZUJEMO
MESTNA OBČINA MARIBOR,Uroš Prikl,DESUS - DESUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE
MESTNA OBČINA MARIBOR,Andrej Šiško,ZSI - GIBANJE ZEDINJENA SLOVENIJA
MESTNA OBČINA MARIBOR,Zdenko Vinkov,SSN - STRANKA SLOVENSKEGA NARODA
MESTNA OBČINA MARIBOR,Borut Ambrožič,SMSR - STRANKA MEDGENERACIJSKE SOLIDARNOSTI IN RAZVOJA
MESTNA OBČINA MARIBOR,Igor Jurišič,SMS - STRANKA MLADIH - ZELENI EVROPE
MESTNA OBČINA MARIBOR,Igor Domanjko,LNBP - LISTA NOVINARJA BOJANA POŽARJA
MESTNA OBČINA MARIBOR,Josip Rotar,LKP - LISTA KOLESARJEV IN PEŠCEV
MESTNA OBČINA MARIBOR,Alenka Iskra,SD - SOCIALNI DEMOKRATI
MESTNA OBČINA MARIBOR,Lidija Divjak Mirnik,ALEŠ MIRNIK IN SKUPINA VOLIVCEV
MESTNA OBČINA MARIBOR,Franc Kangler,NLS - LISTA FRANCA KANGLERJA - NOVA LJUDSKA STRANKA SLOVENIJE
MESTNA OBČINA MARIBOR,Aleksander Kamenik,SAK - STRANKA ALEKSANDRA KAMENIKA
MESTNA OBČINA MARIBOR,Rok Zalar,ZELENI SLOVENIJE
MESTNA OBČINA MARIBOR,Andrej Fištravec,DDR. MATJAŽ MULEJ IN SKUPINA VOLIVCEV
MESTNA OBČINA MARIBOR,Vladimir Šega,LEVICA
MESTNA OBČINA MURSKA SOBOTA,Bojan Petrijan,SDS - SLOVENSKA DEMOKRATSKA STRANKA
MESTNA OBČINA MURSKA SOBOTA,Aleksander Jevšek,SD - SOCIALNI DEMOKRATI
MESTNA OBČINA NOVA GORICA,Matej Arčon,dr. BRANKO MARUŠIČ IN SKUPINA VOLIVCEV
MESTNA OBČINA NOVA GORICA,Elena Zavadlav Ušaj,SDS - SLOVENSKA DEMOKRATSKA STRANKA
MESTNA OBČINA NOVA GORICA,Sebastjan Komel,SD - SOCIALNI DEMOKRATI
MESTNA OBČINA NOVA GORICA,Miran Műllner,ZVEZA ZA PRIMORSKO - ZZP
MESTNA OBČINA NOVA GORICA,Klemen Miklavič,LUKA MANOJLOVIĆ IN SKUPINA VOLIVCEV
MESTNA OBČINA NOVA GORICA,Anton Harej,NSI - NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI
MESTNA OBČINA NOVO MESTO,Alenka Muhič,Glavni in izvršilni odbor Zveze za Dolenjsko - ZZD
MESTNA OBČINA NOVO MESTO,Gregor Macedoni,Boštjan Grobler in skupina volivcev
MESTNA OBČINA NOVO MESTO,Rok Mežnar,"Stranka Dobra država, Zbor članov Občinskega odbora Mestne občine Novo mesto"
MESTNA OBČINA NOVO MESTO,Jože Kobe,Zbor članov GAS MO Novo mesto
MESTNA OBČINA PTUJ,Janez Rožmarin,NSI - NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI
MESTNA OBČINA PTUJ,Igor Majnik,Dušan Gabrovec in skupina volivcev
MESTNA OBČINA PTUJ,Nuška Gajšek,Volilna konvencija občinske organizacije Socialnih demokratov Ptuj
