OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
OBČINA LJUTOMER,Olga Karba,ž,dr. MIRAN PUCONJA IN SKUPINA VOLIVCEV Z OLGO IN EKIPO SR(e)ČNO NAPREJ!,0
OBČINA NAKLO,Drago Goričan,m,DRAGO GORIČAN IN SKUPINA VOLIVCEV,0
OBČINA MOKRONOG-TREBELNO,Uroš Pikl,m,Drago Samide in skupina volivcev,0
OBČINA ŠKOFLJICA,Bojan Božič,m,Dragutin Brkinjač in skupina volivcev,0
OBČINA BREŽICE,Ivan Molan,m,DRAŽEN LEVOJEVIĆ IN SKUPINA VOLIVCEV,0
OBČINA MIRNA,Dražen Šmuc,m,DRAŽEN ŠMUC IN SKUPINA VOLIVCEV,0
OBČINA TREBNJE,Leon Lobe,m,DROT - ZA RAZVOJ,0
OBČINA BISTRICA OB SOTLI,Franjo Debelak,m,DUŠAN BERKOVIČ IN SKUPINA VOLIVCEV,0
OBČINA TRŽIČ,Borut Sajovic,m,Dušan Bodlaj in skupina volivcev,0
MESTNA OBČINA PTUJ,Igor Majnik,m,Dušan Gabrovec in skupina volivcev,0
OBČINA BENEDIKT,Avgust Zavernik,m,DUŠAN JANŽEKOVIČ IN SKUPINA VOLIVCEV,0
OBČINA POLZELA,Jože Kužnik,m,DUŠAN PUNGARTNIK IN SKUPINA VOLIVCEV,0
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,Damir Pekič,m,DZN - DIALOG ZA NAPREDEK,0
OBČINA CERKNICA,Bogdan Zevnik,m,EDVARD VIČIČ IN SKUPINA VOLIVCEV,0
OBČINA BRDA,Franc Mužič,m,ERNEST ŽNIDARČIČ,0
MESTNA OBČINA KRANJ,Ivo Bajec,m,Eva Bajec in skupina volivcev,0
OBČINA PREDDVOR,Rok Roblek,m,EVA GRAH ROBLEK IN SKUPINA VOLIVCEV,0
OBČINA ŠENTJERNEJ,Radko Luzar,m,Franc Bevc in skupina volivcev,0
OBČINA SVETI JURIJ OB ŠČAVNICI,Anton Slana,m,Franc Čuš in skupina volivcev,0
OBČINA MOKRONOG-TREBELNO,Anton Maver,m,Franc Glušič in skupina volivcev,0
OBČINA LENDAVA,Dr Mihael Kasaš,m,FRANC KOREN IN SKUPINA VOLIVCEV,0
OBČINA HORJUL,Janko Jazbec,m,Franc Pišek in skupina volivcev,0
MESTNA OBČINA CELJE,Sandi Sendelbah,m,"FRANC PUSAR IN SKUPINA VOLIVCEV ZA ""ODPRTO CELJE""",0
OBČINA ŽUŽEMBERK,Franc Škufca,m,FRANC ŠKUFCA IN SKUPINA VOLIVCEV,0
OBČINA KRIŽEVCI,Branko Belec,m,FRANC SREŠ IN SKUPINA VOLIVCEV,0
OBČINA RIBNICA,Samo Pogorelc,m,FRANC TRDAN IN SKUPINA VOLIVCEV,0
OBČINA ŽIROVNICA,Mojca Vene,ž,"Franc Zavodnik in skupina volivcev ""Lista za vasi pod Stolom""",0
OBČINA BELTINCI,Milan Kerman,m,Gabrijela Kerman in skupina volivcev,0
MESTNA OBČINA KOPER,Gašpar Gašpar Mišič,m,GAŠPAR GAŠPAR MIŠIČ IN SKUPINA VOLIVCEV,0
OBČINA ŠMARJEŠKE TOPLICE,Marjan Hribar,m,GAŠPER GREGORČIČ IN SKUPINA VOLIVCEV,0
MESTNA OBČINA NOVO MESTO,Alenka Muhič,ž,Glavni in izvršilni odbor Zveze za Dolenjsko - ZZD,0
OBČINA POLJČANE,Stanislav Kovačič,m,Golob Marjan in skupina volivcev,0
OBČINA VRHNIKA,Viktor Sladič,m,Grega Kukec in skupina volivcev,0
OBČINA HRASTNIK,Gregor Pajić,m,"Gregor Pajić in skupina volivcev ""LISTA GREGORJA PAJIĆA""",0
OBČINA LJUBNO,Franjo Naraločnik,m,Greta Naraločnik in skupina volivcev,0
OBČINA PIRAN,Đenio Zadković,m,GZOP - GIBANJE ZA OBČINO PIRAN,0
OBČINA ŠENTILJ,Boris Bezjak,m,HEDL PAVLA IN SKUPINA VOLIVCEV,0
OBČINA LENDAVA,Igor Kulčar,m,HELENA ANTOLIN TIBAUT IN SKUPINA VOLIVCEV,0
OBČINA KOMEN,Sergio Stancich,m,Helena Zgonik Vidmar in skupina volivcev,0
OBČINA KUZMA,Sonja Pelcar,ž,Igor Pelcar in skupina volivcev,0
OBČINA IZOLA,Manca Vadnjal,ž,IJN - IZOLA JE NAŠA,0
OBČINA ILIRSKA BISTRICA,Ivan Simčič,m,Iniciativni odbor Liste Marjana Šarca v Občini Ilirska Bistrica,0
MESTNA OBČINA CELJE,Marko Zidanšek,m,IO MO SLOVENSKA LJUDSKA STRANKA CELJE,0
MESTNA OBČINA VELENJE,Mihael Letonje,m,IO MO SLS VELENJE,0
OBČINA SVETI JURIJ OB ŠČAVNICI,Miroslav Petrovič,m,Ivan Fras in skupina volivcev,0
