OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
OBČINA KOSTEL,Suzana Ožanič,ž,Milojka Malnar in skupina volivcev,0
OBČINA KOSTEL,Ivan Črnkovič,m,Miran Briški in skupina volivcev,0
OBČINA ŽIROVNICA,Leopold Pogačar,m,"Miran Dolar in skupina volivcev ""Neodvisna lista za Žirovnico""",0
OBČINA ŠTORE,Miran Jurkošek,m,"MIRAN JURKOŠEK IN SKUPINA VOLIVCEV ""ŽUPANOVA NEODVISNA LISTA ZA RAZVOJ""",0
OBČINA DESTRNIK,Franc Pukšič,m,Miran Kramberger in skupina volivcev - NAjPREJ DESTRNIK,0
OBČINA RADOVLJICA,Ciril Globočnik,m,Miran Rems in skupina volivcev,0
MESTNA OBČINA PTUJ,Gorazd Orešek,m,Miran Senčar in skupina volivcev,0
OBČINA TRŽIČ,Pavel Rupar,m,Mirjana Novak in skupina volivcev,0
OBČINA KOMENDA,Stanislav Poglajen,m,Mirko Pogačar in skupina volivcev,0
OBČINA SELNICA OB DRAVI,Darja Slivnjak,ž,MIRO KOBAL IN SKUPINA VOLIVCEV,0
OBČINA OPLOTNICA,Matjaž Orter,m,Miroslav Vodovnik in skupina volivcev,0
OBČINA BOHINJ,Jože Sodja,m,Mitja Bajrič in skupina volivcev,0
OBČINA KOSTANJEVICA NA KRKI,Žan Colarič,m,Mitja Luštek in skupina volivcev,0
OBČINA GORNJI PETROVCI,Vladimir Hozjan,m,Mitja Orešek in skupina volivcev,0
OBČINA ŠOŠTANJ,Matic Mežnar,m,MLADI ZA ŠOŠTANJ,0
MESTNA OBČINA CELJE,Matjaž Železnik,m,SDS,0
OBČINA ODRANCI,Mojca Balažic,ž,MOJCA BALAŽIC IN SKUPINA VOLIVCEV,0
OBČINA LOŠKA DOLINA,Boštjan Funda,m,NANO - NAŠA NOTRANJSKA,0
OBČINA CERKNICA,Luka Kočevar,m,NANO - NAŠA NOTRANJSKA,0
OBČINA METLIKA,Renata Brunskole,ž,NASTJA BRUNSKOLE IN SKUPINA VOLIVCEV,0
OBČINA ŠMARTNO OB PAKI,Janko Kopušar,m,NATALIJA ZABUKOVNIK IN SKUPINA VOLIVCEV,0
OBČINA SOLČAVA,Alojz Lipnik,m,Nataša Firšt in skupina volivcev,0
OBČINA DIVAČA,Alenka Štrucl Dovgan,ž,NATAŠA HREŠČAK in skupina volivcev,0
OBČINA NAZARJE,Matej Pečovnik,m,Nataša Pečovnik Perme in skupina volivcev,0
OBČINA SVETI ANDRAŽ V SLOV. GORICAH,Darja Vudler,ž,NEODVISNA LISTA SKUPAJ ZA LJUDI! MITJA BERLAK IN SKUPINA VOLIVCEV,0
OBČINA TIŠINA,Vinko Gajšt,m,Nika Gajšt in skupina volivcev,0
MESTNA OBČINA MARIBOR,Franc Kangler,m,NLS - LISTA FRANCA KANGLERJA - NOVA LJUDSKA STRANKA SLOVENIJE,0
OBČINA GORNJA RADGONA,Peter Kralj,m,NSI,0
OBČINA VELIKE LAŠČE,Andrej Janša,m,NSI,0
MESTNA OBČINA NOVA GORICA,Anton Harej,m,NSI,0
OBČINA ZAGORJE OB SAVI,Bojan Simončič,m,NSI,0
MESTNA OBČINA KOPER,Danijel Sertič,m,NSI,0
OBČINA SVETA TROJICA V SLOVENSKIH GORICAH,David Klobasa,m,NSI,0
OBČINA VIDEM,Dušan Pernek,m,NSI,0
OBČINA SVETI ANDRAŽ V SLOV. GORICAH,Franc Krepša,m,NSI,0
OBČINA LJUTOMER,Gregor Žižek,m,NSI,0
OBČINA DOBREPOLJE,Igor Ahačevčič,m,NSI,0
OBČINA ČRNA NA KOROŠKEM,Igor Prodnik,m,NSI,0
OBČINA TIŠINA,Ivan Horvat,m,NSI,0
OBČINA LOŠKA DOLINA,Janez Komidar,m,NSI,0
MESTNA OBČINA PTUJ,Janez Rožmarin,m,NSI,0
OBČINA ŽIRI,Janez Žakelj,m,NSI,0
OBČINA HORJUL,Janko Prebil,m,NSI,0
OBČINA ŽUŽEMBERK,Jože Papež,m,NSI,0
OBČINA ŠENČUR,Mag Valerij Grašič,m,NSI,0
OBČINA ROGATEC,Martin Mikolič,m,NSI,0
OBČINA KAMNIK,Matej Slapar,m,NSI,0
OBČINA IDRIJA,Metod Habe,m,NSI,0
OBČINA ŠMARTNO PRI LITIJI,Milan Izlakar,m,NSI,0
OBČINA SVETI TOMAŽ,Mirko Cvetko,m,NSI,0
OBČINA RAVNE NA KOROŠKEM,Mojca Erjavec,ž,NSI,0
OBČINA ZAVRČ,Slavko Pravdič,m,NSI,0
OBČINA TURNIŠČE,Stanislav Sobočan,m,NSI,0
OBČINA ŠENTILJ,Viktor Vajngerl,m,NSI,0
MESTNA OBČINA MARIBOR,Zdravko Luketič,m,NSI,0
OBČINA VOJNIK,Branko Petre,m,NSI - NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI                                                                         SDS - SLOVENSKA DEMOKRATSKA STRANKA,0
OBČINA ŠALOVCI,Jože Korpič,m,NSP - NEODVISNA STRANKA POMURJA,0
OBČINA TRZIN,Peter Ložar,m,NUŠA REPŠE IN SKUPINA VOLIVCEV,0
OBČINA NAKLO,Stane Oman,m,SD,0
MESTNA OBČINA CELJE,Branko Verdev,m,SD,0
OBČINA KOČEVJE,Lucija Höferle,ž,DESUS,0
OBČINA ILIRSKA BISTRICA,Emil Rojc,m,SD,0
MESTNA OBČINA LJUBLJANA,Jožef Jarh,m,Občinski odbor Stranke enakopravnih dežel - SED,0
OBČINA KOČEVJE,Janko Veber,m,OBČINSKI ODBOR STRANKE SLOGA KOČEVJE,0
OBČINA AJDOVŠČINA,Marjan Poljšak,m,OBČINSKI VOLILNI ZBOR ČLANOV NSD,0
OBČINA TRBOVLJE,Sibila Ložina,ž,ObO Socialni demokrati Trbovlje,0
MESTNA OBČINA KOPER,Valter Krmac,m,OLJKA,0
OBČINA PIRAN,Viko Kveder,m,OLJKA,0
OBČINA IZOLA,Vojko Ludvik,m,OLJKA,0
OBČINA BENEDIKT,Milan Repič,m,SLS,0
OBČINA NAKLO,Ivan Meglič,m,SLS,0
OBČINA ŠEMPETER-VRTOJBA,Milan Turk,m,Pavel Černe in skupina volivcev,0
OBČINA APAČE,Andrej Ritlop,m,PETER BERNARD IN SKUPINA VOLIVCEV,0
OBČINA ŠENTJERNEJ,Jože Simončič,m,Peter Cvelbar in skupina volivcev,0
OBČINA VRHNIKA,Peter Gabrovšek,m,Peter Gabrovšek in skupina volivcev,0
OBČINA VITANJE,Simon Golenač,m,PETER GOLENAČ IN SKUPINA VOLIVCEV,0
OBČINA RUŠE,Tomi Prosnik,m,PETER JUHART IN SKUPINA VOLIVCEV,0
OBČINA GORNJI GRAD,Stanko Ogradi,m,PETER LETONJA IN SKUPINA VOLIVCEV,0
OBČINA MAKOLE,Franc Majcen,m,Petra Novak in skupina volivcev,0
OBČINA PREDDVOR,Aleš Drekonja,m,PLS - POVEZANE LOKALNE SKUPNOSTI,0
OBČINA MENGEŠ,Tomaž Štebe,m,POLONA ŠTEBE IN SKUPINA VOLIVK IN VOLIVCEV,0
OBČINA ORMOŽ,Jani Ivanuša,m,PREDSEDSTVO MESTNEGA ODBORA SNS ORMOŽ,0
OBČINA KOČEVJE,Alenka Jelenovič,ž,PREDSEDSTVO OBČINSKEGA ODBORA SNS KOČEVJE,0
OBČINA LUKOVICA,Matej Kotnik,m,prof.dr. Janez Kušar in skupina volilvcev,0
OBČINA TRBOVLJE,Jože Pustoslemšek,m,Rafael Žlak in skupina volilcev,0
OBČINA ČRNA NA KOROŠKEM,Romana Lesjak,ž,RAJKO LESJAK IN SKUPINA VOLIVCEV,0
MESTNA OBČINA KRANJ,Zoran Stevanović,m,Robert Kranjec in skupina volivcev,0
OBČINA KOSTANJEVICA NA KRKI,Ladko Petretič,m,Robert Zagorc in skupina volivcev,0
OBČINA RADENCI,Toni Žitek,m,Robert Zemljič in skupina volivcev,0
OBČINA GORNJA RADGONA,Stanko Rojko,m,ROBERT ŽINKOVIČ IN SKUPINA VOLIVCEV,0
OBČINA VERŽEJ,Mojca Šijanec,ž,ROK ČIRIČ,0
OBČINA MEŽICA,Dušan Krebel,m,ROMAN ABRAHAM IN SKUPINA VOLIVCEV,0
OBČINA TURNIŠČE,Vesna Jerala Zver,ž,Roman Čiček in skupina volivcev,0
OBČINA BENEDIKT,Anton Mlasko,m,ROMAN SENEKOVIČ IN SKUPINA VOLIVCEV,0
OBČINA HODOŠ,Ludvik Orban,m,RUDOLF BUNDERLA ML.,0
OBČINA MUTA,Miroslav Vošner,m,Rudolf Koležnik in skupina volivcev,0
MESTNA OBČINA MARIBOR,Aleksander Kamenik,m,SAK - STRANKA ALEKSANDRA KAMENIKA,0
OBČINA DUPLEK,Stanko Grajfoner,m,Samanta Cimerman in skupina volivcev,0
OBČINA ŠMARJE PRI JELŠAH,Bojana Pevec,ž,Sara Pevec in skupina volivcev,0
OBČINA PREDDVOR,Miha Likar,m,SAŠO LIKAR IN SKUPINA VOLIVCEV,0
OBČINA HRASTNIK,Marko Funkl,m,"Sašo Žekar in skupina volivcev ""LISTA NAŠ HRASTNIK""",0
OBČINA LITIJA,Aleksander Gombač,m,SD,0
MESTNA OBČINA MURSKA SOBOTA,Aleksander Jevšek,m,SD,0
OBČINA IZOLA,Aleksej Skok,m,SD,0
MESTNA OBČINA MARIBOR,Alenka Iskra,ž,SD,0
OBČINA RENČE-VOGRSKO,Aleš Furlan,m,SD,0
OBČINA ROGAŠKA SLATINA,Andrejka Flucher,ž,SD,0
OBČINA PODVELKA,Anton Kovše,m,SD,0
OBČINA MISLINJA,Bojan Borovnik,m,SD,0
OBČINA PIRAN,Bojan Drevenšek,m,SD,0
OBČINA PUCONCI,Branko Ritlop,m,SD,0
OBČINA ROGATEC,Brigita Vodušek,ž,SD,0
OBČINA RADOVLJICA,Dalibor Šolar,m,SD,0
OBČINA KIDRIČEVO,Danijel Zajc,m,SD,0
OBČINA METLIKA,Darko Zevnik,m,SD,0
OBČINA LJUTOMER,Dejan Karba,m,SD,0
OBČINA RADENCI,Emil Šmid,m,SD,0
OBČINA ŠENČUR,Igor Kajzer,m,SD,0
OBČINA RIBNICA,Irma Grbec,ž,SD,0
OBČINA LOGATEC,Janez Istenič,m,SD,0
OBČINA LOVRENC NA POHORJU,Joško Manfreda,m,SD,0
OBČINA ŠEMPETER-VRTOJBA,Jože Rupar,m,SD,0
OBČINA TURNIŠČE,Jožef Slavic,m,SD,0
OBČINA GORNJI PETROVCI,Lidija Krpič Časar,ž,SD,0
MESTNA OBČINA KOPER,Marijan Križman,m,SD,0
OBČINA MOZIRJE,Mark Molnar,m,SD,0
OBČINA MORAVČE,Martin Rebolj,m,SD,0
OBČINA BREŽICE,Matija Kolarič,m,SD,0
OBČINA BOROVNICA,Matjaž Ocepek,m,SD,0
MESTNA OBČINA KRANJ,Matjaž Rakovec,m,SD,0
OBČINA APAČE,Renato Flisar,m,SD,0
OBČINA HRPELJE-KOZINA,Saša Likavec Svetelšek,ž,SD,0
MESTNA OBČINA NOVA GORICA,Sebastjan Komel,m,SD,0
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,Simona Marko,ž,SD,0
OBČINA RIBNICA NA POHORJU,Srečko Geč,m,SD,0
OBČINA KANAL,Tina Gerbec,ž,SD,0
OBČINA RADEČE,Tomaž Režun,m,SD,0
OBČINA TOLMIN,Tomaž Štenkler,m,SD,0
OBČINA JESENICE,Tomaž Tom Mencinger,m,SD,0
OBČINA ŠTORE,Uroš Kragelj,m,SD,0
OBČINA BOVEC,Valter Mlekuž,m,SD,0
OBČINA ŠENTJUR,Vincenc Frece,m,SD,0
OBČINA ZAGORJE OB SAVI,Željko Železnik,m,SD,0
OBČINA ŠOŠTANJ,Bojana Žnider,ž,SD,0
OBČINA SLOVENSKE KONJICE,Darko Ratajc,m,SD,0
OBČINA TABOR,Matej Demšar,m,SD,0
OBČINA ŠENTJERNEJ,Albert Pavlič,m,SDS,0
OBČINA ŠENTRUPERT,Andrej Martin Kostelec,m,SDS,0
OBČINA ŽIRI,Andrej Poljanšek,m,SDS,0
OBČINA RADOVLJICA,Andrej Potočnik,m,SDS,0
OBČINA LOVRENC NA POHORJU,Andrej Prapertnik,m,SDS,0
OBČINA APAČE,Andrej Steyer,m,SDS,0
OBČINA KIDRIČEVO,Anton Leskovar,m,SDS,0
OBČINA VELIKE LAŠČE,Anton Zakrajšek,m,SDS,0
OBČINA DOBRNA,Bojan Felicijan,m,SDS,0
MESTNA OBČINA MURSKA SOBOTA,Bojan Petrijan,m,SDS,0
OBČINA SLOVENSKE KONJICE,Bojan Podkrajšek,m,SDS,0
OBČINA LITIJA,Boris Doblekar,m,SDS,0
OBČINA TURNIŠČE,Borut Horvat,m,SDS,0
OBČINA DIVAČA,Branka Škrlj,ž,SDS,0
OBČINA VIDEM,Branko Marinič,m,SDS,0
OBČINA LOG-DRAGOMER,Domen Cukjati,m,SDS,0
OBČINA IVANČNA GORICA,Dušan Strnad,m,SDS,0
MESTNA OBČINA NOVA GORICA,Elena Zavadlav Ušaj,ž,SDS,0
OBČINA DESTRNIK,Elizabeta Fras,ž,SDS,0
OBČINA DRAVOGRAD,Ervin Kodrun,m,SDS,0
OBČINA PODLEHNIK,Eva Pipan,ž,SDS,0
OBČINA RADENCI,Franc Himelrajh,m,SDS,0
OBČINA VRANSKO,Franc Sušnik,m,SDS,0
OBČINA KUNGOTA,Igor Stropnik,m,SDS,0
OBČINA PIVKA,Jana Gržinič,ž,SDS,0
OBČINA CIRKULANE,Janez Jurgec,m,SDS,0
OBČINA LENDAVA,Janez Magyar,m,SDS,0
OBČINA ŠMARTNO PRI LITIJI,Janez Tomažič,m,SDS,0
OBČINA TREBNJE,Jože Avguštinčič,m,SDS,0
OBČINA ŠKOCJAN,Jože Kapler,m,SDS,0
OBČINA REČICA OB SAVINJI,Jože Lenko,m,SDS,0
OBČINA RIBNICA,Jože Levstek,m,SDS,0
OBČINA ROGAŠOVCI,Jožica Fükaš,ž,SDS,0
OBČINA SREDIŠČE OB DRAVI,Jurij Borko,m,SDS,0
OBČINA IDRIJA,Kristjan Brus,m,SDS,0
OBČINA GRAD,Marijan Klement,m,SDS,0
OBČINA ŠENTILJ,Marijan Pojbič,m,SDS,0
OBČINA CERKNICA,Marko Rupar,m,SDS,0
OBČINA PESNICA,Mateja Rose,ž,SDS,0
OBČINA KAMNIK,Matjaž Zorman,m,SDS,0
OBČINA IG,Mirko Merzel,m,SDS,0
OBČINA SVETI TOMAŽ,Miro Rakuša,m,SDS,0
OBČINA IZOLA,Mitja Kobal,m,SDS,0
OBČINA ŠENTJUR,Mojca Inkret,ž,SDS,0
OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,Peter Škrlec,m,SDS,0
OBČINA GROSUPLJE,Peter Verlič,m,SDS,0
OBČINA DORNAVA,Rajko Janžekovič,m,SDS,0
OBČINA LOŠKI POTOK,Robert Volf,m,SDS,0
MESTNA OBČINA KOPER,Silvano Radin,m,SDS,0
OBČINA ŠTORE,Simon Kroflič,m,SDS,0
OBČINA RIBNICA NA POHORJU,Tatjana Marsel,ž,SDS,0
OBČINA BRDA,Teja Jelina,ž,SDS,0
OBČINA POLJČANE,Tomaž Kokot,m,SDS,0
OBČINA ROGATEC,Viktor Božak,m,SDS,0
OBČINA LUKOVICA,Viktor Jemec,m,SDS,0
OBČINA RENČE-VOGRSKO,Vinko Jarc,m,SDS,0
OBČINA SELNICA OB DRAVI,Vlasta Krmelj,ž,SDS,0
OBČINA PIRAN,Vojko Jevševar,m,SDS,0
OBČINA JESENICE,Žarko Štrumbl,m,SDS,0
OBČINA LOGATEC,Zoran Mojškerc,m,SDS,0
OBČINA PREBOLD,Marjan Golavšek,m,SDS,0
OBČINA DOLENJSKE TOPLICE,Jure Filipović,m,SDS,0
OBČINA ŠOŠTANJ,Darko Menih,m,SDS,0
OBČINA ZREČE,Boris Podvršnik,m,SDS,0
OBČINA KAMNIK,Sandi Uršič,m,ŠEMSO MUJANOVIĆ IN SKUPINA VOLIVCEV,0
OBČINA KANAL,Bojan Marinič,m,Slavica Bavdaž in skupina volivcev,0
OBČINA ORMOŽ,Miran Topolovec,m,Slavko Kosi in skupina volivcev,0
OBČINA RADENCI,Mojca Smolko,ž,SLOGA,0
OBČINA ILIRSKA BISTRICA,Robert Šircelj,m,SDS,0
MESTNA OBČINA PTUJ,Rajko Fajt,m,SDS,0
OBČINA ČRNOMELJ,Maja Kocjan,ž,SDS,0
OBČINA ORMOŽ,Danijel Vrbnjak,m,SDS,0
MESTNA OBČINA VELENJE,Suzana Kavaš,ž,SDS,0
OBČINA AJDOVŠČINA,Miha Kapelj,m,SDS,0
OBČINA MEDVODE,Leon Merjasec,m,SDS,0
OBČINA VIPAVA,Jožko Andlovic,m,SDS,0
OBČINA ŽALEC,Matjaž Krk,m,SDS,0
OBČINA SEMIČ,Sonja Klemenc Križan,ž,SDS,0
OBČINA NAKLO,Marko Mravlja,m,SDS,0
OBČINA KOČEVJE,Luka Bubnjić,m,SDS,0
OBČINA HAJDINA,Stanislav Glažar,m,"Slovenska demokratska stranka, Socialni demokrati, Slovenska ljudska stranka",0
OBČINA ŠENČUR,Ciril Kozjek,m,SLOVENSKA LJUDSKA STRANKA IN SLOVENSKA DEMOKRATSKA STRANKA,0
MESTNA OBČINA KRANJ,Barbara Gunčar,ž,SLRP - STRANKA ZA ENAKOMEREN LOKALNI RAZVOJ IN PODJETNOST,0
OBČINA ŽELEZNIKI,Anton Luznar,m,SLS,0
OBČINA TRNOVSKA VAS,Alojz Benko,m,SLS,0
OBČINA KANAL,Andrej Maffi,m,SLS,0
OBČINA HOČE-SLIVNICA,Anita Arzenšek,ž,SLS,0
OBČINA SODRAŽICA,Blaž Milavec,m,SLS,0
OBČINA IZOLA,Bojan Zadel,m,SLS,0
OBČINA POSTOJNA,Boštjan Bizjak,m,SLS,0
OBČINA ROGAŠKA SLATINA,Branko Kidrič,m,SLS,0
OBČINA RAČE-FRAM,Branko Ledinek,m,SLS,0
OBČINA KIDRIČEVO,Damjan Medved,m,SLS,0
OBČINA MAJŠPERK,Darinka Fakin,ž,SLS,0
OBČINA REČICA OB SAVINJI,Drago Poličnik,m,SLS,0
OBČINA TIŠINA,Franc Horvat,m,SLS,0
OBČINA ŠKOCJAN,Franc Kocjan,m,SLS,0
OBČINA DOBJE,Franc Leskovšek,m,SLS,0
OBČINA LITIJA,Franc Rokavec,m,SLS,0
OBČINA LAŠKO,Franc Zdolšek,m,SLS,0
OBČINA VIDEM,Friderik Bračič,m,SLS,0
OBČINA IG,Janez Cimperman,m,SLS,0
OBČINA ZAVRČ,Janko Lorbek,m,SLS,0
OBČINA BLOKE,Jože Doles,m,SLS,0
OBČINA GORIŠNICA,Jožef Kokot,m,SLS,0
OBČINA CERKNO,Jurij Kavčič,m,SLS,0
OBČINA PUCONCI,Ludvik Novak,m,SLS,0
OBČINA KOBARID,Marko Miklavič,m,SLS,0
OBČINA MOZIRJE,Marko Presečnik,m,SLS,0
OBČINA TABOR,Marko Semprimožnik,m,SLS,0
OBČINA DOBRNA,Martin Brecl,m,SLS,0
OBČINA ŠMARTNO OB PAKI,Mateja Ažman,ž,SLS,0
OBČINA ŠENTJUR,Mihaela Rožej,ž,SLS,0
OBČINA SLOVENSKE KONJICE,Miran Gorinšek,m,SLS,0
OBČINA KRŠKO,Miran Stanko,m,SLS,0
OBČINA ORMOŽ,Miroslav Kosi,m,SLS,0
MESTNA OBČINA KOPER,Nevio Miklavčič,m,SLS,0
OBČINA MARKOVCI,Peter Majcen,m,SLS,0
OBČINA HRPELJE-KOZINA,Robert Grk,m,SLS,0
OBČINA KOBILJE,Robert Ščap,m,SLS,0
OBČINA PIVKA,Robert Smrdelj,m,SLS,0
OBČINA ZAGORJE OB SAVI,Slavko Jelševar,m,SLS,0
OBČINA VERŽEJ,Slavko Petovar,m,SLS,0
OBČINA VITANJE,Slavko Vetrih,m,SLS,0
OBČINA SEVNICA,Srečko Ocvirk,m,SLS,0
OBČINA VELIKE LAŠČE,Tatjana Devjak,m,SLS,0
OBČINA PESNICA,Venčeslav Senekovič,m,SLS,0
OBČINA SLOVENSKA BISTRICA,Ivan Žagar,m,"SLS - SLOVENSKA LJUDSKA STRANKA, SDS - SLOVENSKA DEMOKRATSKA STRANKA, N.Si - NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI",0
OBČINA JURŠINCI,Alojzij Kaučič,m,SLS,0
MESTNA OBČINA MARIBOR,Aleksander Saša Arsenovič,m,SMC,0
OBČINA OSILNICA,Alenka Kovač,ž,SMC,0
OBČINA PIRAN,Andrej Korenika,m,SMC,0
OBČINA LJUTOMER,Andrej Vršič,m,SMC,0
OBČINA LAŠKO,Bojan Špiler,m,SMC,0
OBČINA KRŠKO,Dušan Dornik,m,SMC,0
OBČINA GROSUPLJE,Dušan Rus,m,SMC,0
OBČINA GORNJA RADGONA,Dušan Zagorc,m,SMC,0
OBČINA SLOVENSKA BISTRICA,Igor Erker,m,SMC,0
OBČINA BREŽICE,Igor Zorčič,m,SMC,0
OBČINA ŠENTJUR,Janez Jenšterle,m,SMC,0
OBČINA JESENICE,Miha Rebolj,m,SMC,0
MESTNA OBČINA KRANJ,Primož Terplan,m,SMC,0
OBČINA ROGAŠOVCI,Slavko Buček,m,SMC,0
MESTNA OBČINA KOPER,Viktor Markežič,m,SMC,0
OBČINA TURNIŠČE,Vincenc Litrop,m,SMC,0
OBČINA HRASTNIK,Vojka Šergan,ž,SMC,0
OBČINA MEDVODE,Alenka Žavbi Kunaver,ž,SMC,0
OBČINA MIREN-KOSTANJEVICA,Robert Gajser,m,SMC - Stranka modernega centra in SD - Socialni demokrati,0
OBČINA LOŠKA DOLINA,Milan Jurkovič,m,SMC-STRANKA MODERNEGA CENTRA IN SOCIALNI DEMOKRATI-SD,0
OBČINA VIDEM,Brane Kolednik,m,SMS - STRANKA MLADIH - ZELENI EVROPE,0
MESTNA OBČINA MARIBOR,Igor Jurišič,m,SMS - STRANKA MLADIH - ZELENI EVROPE,0
MESTNA OBČINA MARIBOR,Borut Ambrožič,m,SMSR - STRANKA MEDGENERACIJSKE SOLIDARNOSTI IN RAZVOJA,0
OBČINA KOSTANJEVICA NA KRKI,Andrej Kerin,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
MESTNA OBČINA KRANJ,Bogomir Šubelj,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA TRBOVLJE,Bojan Kovačič,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
MESTNA OBČINA SLOVENJ GRADEC,Darko Hlupič,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA MARKOVCI,Dejan Horvat,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA ŠTORE,Emil Kačičnik,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA GORNJI GRAD,Jože Rijavec,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA GORNJA RADGONA,Ludvik Fekonja,m,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA SREDIŠČE OB DRAVI,Nataša Sušanj,ž,SNS - SLOVENSKA NACIONALNA STRANKA,0
OBČINA PIRAN,Nevenka Lučić Stanimirović,ž,SNS - SLOVENSKA NACIONALNA STRANKA,0
MESTNA OBČINA LJUBLJANA,Matjaž Bidovec,m,SOCIALISTIČNA PARTIJA SLOVENIJE,0
OBČINA TRŽIČ,Drago Zadnikar,m,Socialni demokrati - SD - Volilna konvencija OO SD Tržič,0
MESTNA OBČINA VELENJE,Bojan Kontič,m,"SOCIALNI DEMOKRATI - SD, Občinska organizacija Velenje - KONVENCIJA  ter Aleksandra ŽUBER in skupina volivcev",0
OBČINA VIPAVA,Goran Kodelja,m,SONJA LUKIN IN SKUPINA VOLIVCEV,0
OBČINA HRASTNIK,Darko Šrenk,m,SPS - SOCIALISTIČNA PARTIJA SLOVENIJE,0
OBČINA LOG-DRAGOMER,Tadej Trček,m,SPS - SOCIALISTIČNA PARTIJA SLOVENIJE,0
OBČINA DRAVOGRAD,Marijana Cigala,ž,Srečko PODOJSTRŠEK in skupina volilcev,0
OBČINA GORIŠNICA,Aleksander Zamuda,m,SSN - STRANKA SLOVENSKEGA NARODA,0
OBČINA LENART,Ivan Vogrin,m,SSN - STRANKA SLOVENSKEGA NARODA,0
MESTNA OBČINA MARIBOR,Zdenko Vinkov,m,SSN - STRANKA SLOVENSKEGA NARODA,0
OBČINA PIRAN,Zlatka Olah,ž,SSN - STRANKA SLOVENSKEGA NARODA,0
OBČINA MIRNA PEČ,Zvonko Lah,m,STANISLAV BEVC in skupina volivcev,0
OBČINA RUŠE,Urška Repolusk,ž,STANISLAV KRAINER IN SKUPINA VOLIVCEV,0
OBČINA CANKOVA,Drago Vogrinčič,m,Stanislav Wolf in skupina volivcev,0
OBČINA MEDVODE,Tomaž Kuralt,m,STANISLAV ŽAGAR IN SKUPINA VOLIVCEV,0
OBČINA REČICA OB SAVINJI,Ana Rebernik,ž,Stanislava Prislan in skupina volivcev,0
OBČINA LENART,Janez Kramberger,m,STANKA FERŠ IN SKUPINA VOLIVCEV,0
OBČINA LUČE,Jože Vavdi,m,Stanko Moličnik in skupina volivcev,0
OBČINA ČRENŠOVCI,Vera Markoja,ž,"Štefan Ftičar in skupina volivcev ""Glas ljudstva - neodvisna lista""",0
OBČINA CANKOVA,Angela Vratuša,ž,Štefan Šipoš in skupina volivcev,0
OBČINA DOMŽALE,Bojan Arh,m,STRANKA ALENKE BRATUŠEK,0
OBČINA RUŠE,Vekoslav Šterman,m,STRANKA ALENKE BRATUŠEK,0
MESTNA OBČINA KRANJ,Iztok Purič,m,Stranka Alenke Bratušek in Več za Kranj,0
MESTNA OBČINA NOVO MESTO,Rok Mežnar,m,"Stranka Dobra država, Zbor članov Občinskega odbora Mestne občine Novo mesto",0
MESTNA OBČINA VELENJE,Breda Kolar,ž,"STRANKA MODERNEGA CENTRA - SMC, Lokalni odbor Šaleške doline",0
MESTNA OBČINA VELENJE,Jože Hribar,m,STRANKA NAŠE VELENJE,0
OBČINA LENDAVA,Dejan Süč,m,SVEN ŠARJAŠ IN SKUPINA VOLIVCEV,0
OBČINA ŠKOFJA LOKA,Rolando Krajnik,m,SVET STRANKE KOMUNALNO EKOLOŠKA LISTA,0
OBČINA PIRAN,Darij Novinec,m,SZV - SLOVENIJA ZA VEDNO,0
OBČINA ANKARAN,Zoran Pavić,m,SZV - SLOVENIJA ZA VEDNO,0
OBČINA BELTINCI,Marko Virag,m,Tadej Apatič in skupina volivcev,0
OBČINA VELIKE LAŠČE,Tadej Malovrh,m,Tadej Malovrh in skupina volivcev,0
MESTNA OBČINA SLOVENJ GRADEC,Andrej Breznik,m,TADEJA BRAJNIK IN SKUPINA VOLIVCEV,0
OBČINA TRZIN,Marko Kajfež,m,TANJA KAJFEŽ IN SKUPINA VOLIVCEV,0
OBČINA TRŽIČ,Duško Krupljanin,m,Tanja Razinger in skupina volivcev,0
OBČINA SEŽANA,Andrej Sila,m,Tanja Sila in skupina volivcev,0
OBČINA LOVRENC NA POHORJU,Sanja Miljuš Herman,ž,Tatjana Šumer in skupina volivcev,0
OBČINA MORAVSKE TOPLICE,Borut Vojkovič,m,TATJANA VOKIĆ VOJKOVIČ IN SKUPINA VOLIVCEV,0
OBČINA PREBOLD,Ksenija Rozman,ž,TILEN KERIČ IN SKUPINA VOLIVCEV ZA LISTO KSENIJE ROZMAN,0
OBČINA ŠENTRUPERT,Rupert Gole,m,Tjaša Gole in skupina volivcev,0
OBČINA BRASLOVČE,Tomaž Žohar,m,TOMAŽ ŽOHAR IN SKUPINA VOLIVCEV,0
